Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1244,PS1883,Method Blank,,,,,,,,,,,2.0038,wet,0,0,0,0,0,102.06338448853,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.044,< 0.15,< 0.15,0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,< 0.074,< 0.15,< 0.15,0.039,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.22,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< LOQ,< LOQ,< LOQ,0.2,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< LOQ,,Row 1 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1247,PS1884,Tissue - whole body,,Chum salmon,113,17.7,No check,Destruction Island,47.6745219,-124.4854773,Load 50 #1,2004-07-20 00:00:00,2.007,wet,0,37.1693216669446,27.1228267661019,6.98118329318775,28.7266682737657,108.41245075181,0.15,0.2,0.2,< 0.12,0.14,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.23,< 0.12,< 0.12,< 0.12,< 0.12,0.096,0.21,0.25,0.24,0.19,0.13,< 0.12,0.2,< 0.12,0.17,< 0.12,< 0.029,< 0.12,0.21,0.15,0.29,0.13,0.23,0.29,< 0.12,0.49,0.22,< 0.12,0.59,< 0.029,< 0.12,< 0.12,< 0.12,< 0.12,0.14,< 0.12,0.12,< 0.12,< 0.12,< 0.12,< 0.088,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.11,0.19,2.1,0.19,0.38,2.5,0.4,4.4,< 0.31,0.33,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,0.33,,Row 2 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1248,PS1884,Tissue - whole body,,Chinook salmon,106,18,No check,Destruction Island,47.6745219,-124.4854773,Load 50 #2,2004-07-20 00:00:00,2,wet,0,5.17549163040732,51.3566012421781,17.6391609720419,25.8287461553725,114.979962634693,0.13,< 0.12,0.15,< 0.11,< 0.11,0.13,< 0.12,< 0.11,< 0.11,< 0.11,0.48,0.36,< 0.11,< 0.11,< 0.11,< 0.11,0.095,0.19,0.27,0.26,0.2,0.17,0.19,0.29,0.23,0.27,0.16,0.043,0.29,0.4,0.57,0.99,0.5,0.73,1,0.29,2.4,0.95,0.27,2.9,0.18,0.21,0.33,0.11,0.25,1.1,0.28,0.82,< 0.11,< 0.11,< 0.11,0.13,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.17,1.3,33,0.6,0.97,35,0.15,17,< 0.30,1.7,< 0.30,< 0.30,< 0.30,1.6,0.87,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,4.2,,Row 3 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1249,PS1884,Tissue - whole body,,Chum salmon,86,7.1,No check,Destruction Island,47.6745219,-124.4854773,Load 50 #3,2004-07-20 00:00:00,1.998,wet,14.3940045244569,7.47448346684581,54.8026526049702,7.59123771653584,15.7376216871911,105.664786825311,0.13,< 0.12,0.14,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.13,< 0.12,< 0.12,< 0.12,< 0.12,0.088,0.2,0.25,0.24,0.19,< 0.12,< 0.12,0.18,< 0.12,0.16,< 0.12,< 0.030,< 0.12,0.19,< 0.12,0.22,0.094,0.2,0.22,< 0.12,0.34,0.17,< 0.12,0.39,< 0.030,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.090,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.12,1.2,< 0.12,0.13,1.4,0.14,3.1,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< LOQ,,Row 4 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1250,PS1884,Tissue - whole body,,Chum salmon,86,6.4,No check,Tatoosh Island,48.3931168,-124.7380236,Load 25 #2,2004-07-14 00:00:00,2.008,wet,2.35003566072837,0,57.6563695162984,23.2089698608754,16.7846249620976,108.463308927103,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.079,0.17,0.21,0.2,0.17,< 0.13,< 0.13,0.15,< 0.13,0.14,< 0.13,< 0.032,< 0.13,0.18,0.13,0.23,0.099,0.2,0.24,< 0.13,0.45,0.23,< 0.13,0.57,< 0.032,< 0.13,< 0.13,< 0.13,< 0.13,0.13,< 0.13,0.13,< 0.13,< 0.13,< 0.13,< 0.096,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.89,< 0.13,< LOQ,0.89,< LOQ,3.7,< 0.34,0.5,< 0.34,< 0.34,< 0.34,0.36,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,0.86,,Row 5 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1251,PS1884,Tissue - whole body,,Chum salmon,93,7.8,No check,Tatoosh Island,48.3931168,-124.7380236,Load 32 #2,2004-07-14 00:00:00,2.003,wet,0,0,55.7028356204935,27.8550191107939,16.4421452687124,110.80213048939,< 0.087,< 0.092,< 0.091,< 0.087,< 0.087,< 0.090,< 0.090,< 0.088,< 0.088,< 0.088,< 0.088,0.12,< 0.088,< 0.087,< 0.088,< 0.088,0.074,0.16,0.2,0.2,0.16,0.11,0.09,0.16,0.1,0.15,< 0.089,0.03,0.12,0.21,0.15,0.3,0.12,0.26,0.27,< 0.089,0.51,0.27,< 0.089,0.61,< 0.022,< 0.088,< 0.088,< 0.088,< 0.089,0.13,< 0.088,0.13,< 0.089,< 0.089,< 0.089,< 0.066,< 0.088,< 0.089,< 0.089,< 0.088,< 0.087,< 0.088,< 0.087,< 0.088,1.1,< 0.087,0.12,1.1,< LOQ,4.6,< 0.24,0.64,< 0.24,< 0.24,< 0.24,0.36,< 0.24,< 0.24,< 0.24,< 0.23,< 0.24,< 0.24,< 0.24,< 0.24,< 0.24,1,,Row 6 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1252,PS1884,Tissue - whole body,,Chum salmon,80,6.4,No check,Tatoosh Island,48.3931168,-124.7380236,Load 38 #3,2004-07-14 00:00:00,2.009,wet,0,1.93509591913437,56.9579051285466,15.8278897091398,25.2791092431792,107.588166345306,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,0.15,< 0.13,< 0.13,< 0.13,< 0.13,0.073,0.15,0.19,0.18,0.15,< 0.13,< 0.13,0.16,< 0.13,0.15,< 0.13,< 0.034,< 0.13,0.22,0.16,0.31,0.11,0.27,0.28,< 0.14,0.52,0.29,< 0.14,0.62,< 0.034,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.15,< 0.13,< 0.14,< 0.14,< 0.10,< 0.13,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,1.3,< 0.13,0.15,1.3,< LOQ,4,< 0.36,0.71,< 0.36,< 0.36,< 0.36,0.56,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,1.3,,Row 7 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1253,PS1884,Tissue - whole body,,Chum salmon,97,5.7,No check,Tatoosh Island,48.3931168,-124.7380236,Load 42 #3,2004-07-22 00:00:00,2,wet,0,0,51.7694059769673,25.2341865447268,22.9964074783058,108.416510448549,< 0.14,< 0.15,< 0.15,< 0.14,< 0.14,< 0.14,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.069,0.15,0.19,0.19,0.16,< 0.14,< 0.14,0.15,< 0.14,< 0.14,< 0.14,< 0.036,< 0.14,0.17,< 0.14,0.23,0.14,0.21,0.23,< 0.14,0.4,0.2,< 0.14,0.62,< 0.036,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,1.2,< 0.14,< LOQ,1.2,< LOQ,3.1,< 0.38,0.39,< 0.38,< 0.38,< 0.38,0.45,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,0.84,,Row 8 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1254,PS1884,Tissue - whole body,,Chinook salmon,99,12.6,No check,Tatoosh Island,48.3931168,-124.7380236,Load 49 #7,2004-07-22 00:00:00,1.998,wet,0,21.3304758646029,47.7302786291079,14.6849345022357,16.2543110040532,104.310212335819,0.2,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.081,0.18,0.22,0.21,0.17,< 0.16,< 0.16,0.18,< 0.16,< 0.16,< 0.16,< 0.040,< 0.16,0.18,< 0.16,0.23,0.096,0.21,0.22,< 0.16,0.34,0.17,< 0.16,0.39,< 0.041,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.12,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.17,1.1,< 0.16,< LOQ,1.3,< LOQ,2.9,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.43,< 0.44,< 0.44,< 0.44,< 0.44,< 0.44,< LOQ,,Row 9 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1255,PS1884,Tissue - whole body,,Chum salmon,86,6.4,No check,Tatoosh Island,48.3931168,-124.7380236,Load 71 #3,2004-07-23 00:00:00,2.007,wet,0,14.2299550673425,48.9803982623759,9.55258927507999,27.2370573952015,107.264360269215,0.14,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.15,< 0.12,< 0.12,< 0.12,< 0.12,0.068,0.15,0.19,0.18,0.14,< 0.12,< 0.12,0.18,< 0.12,0.15,< 0.12,< 0.030,< 0.12,0.19,< 0.12,0.23,0.091,0.21,0.23,< 0.12,0.36,0.18,< 0.12,0.41,< 0.030,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.090,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.13,1.8,< 0.12,0.15,2,< LOQ,3,< 0.32,0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,0.32,,Row 10 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
